# Table nutritionnelle pour 100 g (ou 100 ml pour les liquides) — partie comestible.
# Valeurs INDICATIVES, ordre de grandeur type ANSES/CIQUAL. Elles varient selon variété,
# saison, cuisson et marque. Ne pas utiliser à des fins médicales.
# Pour les ingrédients cuisinés à l'eau (riz, pâtes, légumineuses), valeurs "cuit/égoutté"
# sauf mention "cru". Enrichir ce fichier = brancher de nouveaux ingrédients à tous les skills.
# Colonnes (unités) : kcal | proteines_g | glucides_g | sucres_g | lipides_g | satures_g |
#   fibres_g | sodium_mg | calcium_mg | fer_mg | magnesium_mg | potassium_mg | zinc_mg |
#   vit_c_mg | vit_d_ug | vit_b9_ug | vit_a_ug
ingredient,kcal,proteines_g,glucides_g,sucres_g,lipides_g,satures_g,fibres_g,sodium_mg,calcium_mg,fer_mg,magnesium_mg,potassium_mg,zinc_mg,vit_c_mg,vit_d_ug,vit_b9_ug,vit_a_ug
jambon blanc,107,18.5,1.0,0.6,3.0,1.1,0.0,950,7,0.80,20,300,1.80,0.0,0.5,3,0
lardons,290,15.0,0.5,0.0,25.0,9.5,0.0,1300,9,0.70,15,250,2.10,0.0,0.6,2,0
oeuf,143,12.7,0.7,0.4,9.8,2.8,0.0,140,56,1.75,12,138,1.30,0.0,2.0,47,160
thon au naturel,116,26.0,0.0,0.0,1.0,0.3,0.0,320,10,1.30,33,280,0.60,0.0,1.8,4,5
saumon,208,20.0,0.0,0.0,13.0,3.1,0.0,59,9,0.34,27,363,0.36,0.0,8.0,26,58
crevette,99,21.0,0.2,0.0,1.7,0.3,0.0,560,70,1.80,37,259,1.60,0.0,0.1,46,54
lait demi-écrémé,46,3.2,4.8,4.8,1.6,1.0,0.0,44,114,0.03,11,150,0.40,1.0,0.0,5,17
yaourt nature,61,4.0,5.0,5.0,3.3,2.1,0.0,46,121,0.05,12,155,0.60,0.8,0.0,7,27
fromage blanc,72,7.5,4.0,4.0,3.0,1.9,0.0,40,110,0.05,11,140,0.50,0.7,0.0,12,30
crème fraîche,292,2.5,3.0,3.0,30.0,19.0,0.0,30,80,0.04,8,110,0.30,0.6,0.3,7,290
feta,264,14.0,1.5,1.5,21.0,14.0,0.0,1140,490,0.65,19,62,2.90,0.0,0.4,32,125
emmental,380,28.0,0.5,0.5,30.0,19.5,0.0,250,1000,0.30,33,100,4.40,0.0,0.4,5,300
parmesan,402,36.0,0.0,0.0,29.0,19.0,0.0,1600,1180,0.80,44,125,5.30,0.0,0.5,9,345
beurre,750,0.7,0.7,0.7,82.0,52.0,0.0,11,15,0.02,2,24,0.10,0.0,1.3,3,750
huile d'olive,899,0.0,0.0,0.0,99.9,14.0,0.0,0,1,0.40,0,1,0.00,0.0,0.0,0,0
huile de tournesol,900,0.0,0.0,0.0,100.0,11.0,0.0,0,0,0.00,0,0,0.00,0.0,0.0,0,0
lait de coco,197,2.0,3.0,3.0,20.0,17.0,0.0,15,18,1.60,37,263,0.56,1.0,0.0,16,0
banane,89,1.1,20.0,17.0,0.3,0.1,2.6,1,5,0.26,27,358,0.15,9.0,0.0,20,3
pomme,52,0.3,11.4,10.0,0.2,0.0,2.4,1,6,0.12,5,107,0.04,4.6,0.0,3,3
citron,29,1.1,2.5,2.5,0.3,0.0,2.8,2,26,0.60,8,138,0.06,53.0,0.0,11,2
amandes,634,21.0,7.0,4.4,53.0,4.2,11.0,1,250,3.70,270,733,3.10,0.0,0.0,44,0
noix,698,15.0,5.0,2.6,65.0,6.1,6.7,2,98,2.90,158,441,3.10,1.3,0.0,98,1
sucre,400,0.0,100.0,100.0,0.0,0.0,0.0,0,1,0.05,0,2,0.00,0.0,0.0,0,0
miel,327,0.4,82.0,80.0,0.0,0.0,0.2,4,6,0.42,2,52,0.22,0.5,0.0,0,0
sel,0,0.0,0.0,0.0,0.0,0.0,0.0,38700,24,0.30,1,8,0.10,0.0,0.0,0,0
cannelle,261,3.9,55.0,2.2,3.2,0.7,53.0,10,1000,8.30,60,500,1.80,3.8,0.0,6,15
curry en poudre,325,14.0,40.0,2.8,14.0,2.4,33.0,52,478,29.0,254,1170,4.05,11.0,0.0,154,52
curcuma,312,9.7,44.0,3.2,3.3,1.8,21.0,27,168,55.0,208,2080,4.50,0.7,0.0,39,0
bouillon de légumes,12,0.5,1.5,0.8,0.4,0.1,0.1,1100,8,0.20,3,30,0.05,0.0,0.0,1,2
saucisse fumée,290,15.0,1.5,0.5,25.0,9.5,0.0,1100,12,1.20,14,230,1.90,0.0,0.5,2,0
gingembre,80,1.8,16.0,1.7,0.8,0.2,2.0,13,16,0.60,43,415,0.34,5.0,0.0,11,0
chou,25,1.3,5.0,2.8,0.1,0.0,2.5,18,40,0.50,12,170,0.18,37.0,0.0,43,5
moutarde,150,8.0,6.0,1.5,10.0,0.6,4.0,1130,75,1.50,49,152,0.60,1.5,0.0,7,3
protéine de soja texturée,345,52.0,30.0,2.0,1.5,0.3,18.0,3,240,9.00,290,2000,4.00,0.0,0.0,300,0
thym,276,9.0,27.0,1.7,7.4,2.7,37.0,55,1890,124.0,220,814,6.20,50.0,0.0,45,380
